customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
a9170993-62be-4672-9f47-13cb528a7083,9854bbde-5f2e-4dd9-ad23-ba4499bb7428,93810,Friedmanview,NV
e4c2d46c-1f16-457a-b92e-bf73801b2ad8,94bac372-aded-40e6-b0d9-7c7fdb869424,24592,Stevenside,SC
653a1301-dede-4dba-a89f-0ae9890ae89d,a8e52fca-9798-4440-a67f-bf3ad4dc0bfb,13278,Jesseport,MP
942a6eda-8f60-4f72-a252-fd2f5df80750,55abc034-ded7-4822-a0eb-445ef9bee39b,46048,South Ashley,NH
a7f74515-114b-4b4a-85a1-e33562b24f7c,2a546928-5f1e-4632-acc2-e093c4439fba,42098,West Jennifer,PA
b0a2bcf8-9bbd-4287-885b-99ad92c1cc13,940b1fcb-be6b-4e1a-adaa-ebc17013d8b7,39256,Christinefurt,WV
3e8baa11-5bbd-4e56-b21b-3d11643f108a,0be95f06-05be-4dc8-b91c-fb3e61bcea76,28289,Port Samanthamouth,OR
f2d8a9ca-cb62-4a22-ba36-cff815230609,92b9ec4c-11b4-4858-90f2-6d1fe465a80a,23434,North Victoriafort,NJ
cc7f6f7c-1caa-4f77-8bd7-c22751978142,519066d4-f744-4f77-a528-a615fc7ce741,98696,Lake Christopherland,MD
96d8c748-f196-45a4-b3cf-f515a2fc4ddf,1b3117d4-e8ab-4011-8737-1639cb1b02e2,81482,Richmondshire,ND
b1cb227a-e0d2-4d6f-af4e-f36ab9cee766,d22ac015-513c-4f37-b4f2-fbba346fc013,21395,Lake Williammouth,AK
d66d8c68-e1ce-42b6-a364-6c2bc15cb572,a779bbf4-0df8-4e55-a758-289aa099f66a,87397,Jeffreybury,MH
63cf20bf-894b-4ac1-8677-30149ae7e1e2,05a1ffd3-d5c7-4e55-9dff-66b891b9dfe3,65302,Stoutchester,PA
ef361e5a-ca61-4463-b20c-6fa30082e2f7,3ba88b35-007e-4493-a9d8-51a3e5366658,14165,Yeseniatown,CO
d96dd267-2505-4a76-bfc5-512facfcbd4b,aca4e89f-096c-47a4-9f84-6262d5a9d246,13905,Walkerside,TN
b13ed77d-9b82-4723-a052-03f618f2f44f,8b0fa7b7-7e05-49aa-97c1-b4df7fbd3097,22280,Jacobland,ID
00b9af31-629f-41c3-9425-52e1e71a7b65,85594d73-409d-4105-8922-53ad174fe929,38657,Clarkestad,SD
c5c8f07b-a6d3-4b3c-9d1d-bebb16ba9fea,ab9e31ea-2931-4658-a635-581c8db0a796,40495,South Meaganfurt,WV
ea1cd946-34c8-4be8-851a-e4acf05e7efe,69500750-26b0-4844-97a4-740fa1669e99,76237,South Christine,VI
f19fdbea-83a9-4a18-891c-0d118b2875f6,e4585701-e0cb-4773-abe3-fd588bb94898,88907,New Jamesberg,PR
73d19bc2-4457-46c6-8b8b-b3affbf48960,65f47ab7-31ec-4e0b-a0a0-cd62bf2b2bc0,13478,East Jonathanbury,IL
9e014bae-f547-4c98-bcf3-5fd37e123a49,8f497f1a-1540-49ed-8fdf-c0b8bb492de6,83563,Lake William,KY
af6da1c2-4ce7-42e7-b4a2-1763874c80c4,006af717-b09a-412e-810d-79b21f60e5c4,36062,Port Debrafurt,MI
f1e600fb-733c-4e12-81e7-13d8c49f6e2e,a0d69126-9c37-4630-b22d-374ff5ed0377,95181,Hartport,ND
b9680fee-c0ec-40a3-ac0f-6306182bdd63,54c29357-b333-453c-af49-710c350c648e,81426,New Anthony,AK
d8b4e061-de15-4832-a7da-e676811683ea,2a2e0bd0-d2a7-43d1-ab29-71e0b5d8eb28,64987,Lake Brittanyville,KY
3b51ccb3-cfe9-429a-9ff8-3f5aa4c8a5bf,787ef8b1-acfa-465e-ae19-b9eb8df957ab,38893,Lindseyfurt,KS
4ffdd25f-1ddf-4c87-9bfe-d30a9bba4603,f723032e-682e-4d21-b294-4c146ff63116,68878,Tylermouth,MA
d07495f0-d253-43ed-a557-290f93648240,1387c241-b582-4a7c-ab32-946eb26520be,87236,Elliottport,ND
82c1c849-a662-4e24-b32b-2f869c5d43c7,080b43e4-417f-470b-b233-9162a935111f,46463,Mooretown,DC
84172740-f0b0-469c-bfad-d1b8dc4aa0e6,8c302461-4705-4b94-a66b-a572961818fc,10851,Samanthaberg,TN
8d9eade9-498a-4b65-89a2-f680fec96d88,6ea2c81c-385c-448a-bc67-330ff26b3a13,30926,Nicoleside,SC
cbc1d637-452f-41df-bfb1-e73e3b689b08,aa9377f0-6296-4a75-88ce-559cda40532e,65392,Edwardmouth,MI
928184a6-c523-45a3-9d97-430048ad69ae,e5b764cf-f6d5-4a8d-87bb-d094c0634c6e,54597,Sullivanchester,AR
c1034805-9377-418f-9af0-e5e313d882cf,5fc93819-cddd-44c0-a49e-b3a8c1fb1e70,46421,Port Thomasberg,VT
adc9ccaf-fb17-4c30-b673-7b3ec777dce3,c9752a4f-a793-49a2-9934-a9b633058764,30379,Thomasside,DE
008e49f8-fca7-4809-91df-4eab70680f69,4284f998-639e-4ca2-ad48-f0feb03f0e8c,38221,Sextonside,SC
23b23a2c-81e0-47e3-ac89-4cf2a929638a,84f73fbe-e1fa-4a46-9377-d7ce5ad832be,54118,Ryanland,MN
f6dc0a47-d642-4a1e-918a-4f2b9c67811a,054d62c5-3314-4ed5-8c96-8569c5858d00,23396,Marshallview,MH
3b86db2b-cdf0-428b-b0bf-a31eb2d66587,0a4f3418-e46b-41e9-9e27-43da67797e34,22156,Romeroshire,ME
21cd59f6-e728-4c8a-8a5e-4d738ec3bdd9,0f5cb629-cd50-4f19-967d-65b6c036d29c,59797,Erinmouth,MS
799f29a2-012e-4c44-8d72-3f4faab5f7b4,d81c2276-46a5-4901-bcee-3bd7c39bf64e,22676,Johnsonton,NH
dee2db95-01ff-43fd-b6c5-0a89346c6dff,916e3a37-7cbd-42cd-bc9a-7aec79ccb9bc,57052,Vickieburgh,NC
b1e462d1-b781-4c7c-91c6-09e02b8f7647,0e132e09-093e-48a8-b5c0-3bf66e1ab676,55082,North Samanthamouth,KS
896fbc18-46eb-4c68-8001-37ea2c7c57a1,72139cbd-da22-4bc0-b7b2-2f5e4dfeeeea,89131,East Oliviashire,NY
e9face51-d269-426e-9bac-23d595021ee4,53ec8332-42af-40f6-89b7-7ee4cb1ae175,44671,Jeanneview,AZ
dd665979-09c8-4b67-8885-b5415c742a33,0eb3eae5-8b63-434f-9b72-ca8628adf69d,15695,Kellerberg,GA
967e038f-4e70-4fd5-b0a4-4268d63b42f6,89c8ebde-b5c2-4ca4-9a13-af437bf86fde,70217,Vargasfort,TX
ee860f90-d7bb-4a48-9f72-52370c5824e1,aba28aac-7bb3-422c-9143-8a365f945a8c,80284,Chadmouth,VT
343b6cce-b78a-4abb-9888-18f78017d741,f768e504-d2a8-44b1-9e18-894207570a97,26361,Lake Michael,NV
3533639b-1083-4f3c-9100-4afddc77b93b,9df691e8-6522-4604-9a6c-a75ca67fbb90,59615,East Erica,MT
9d4446da-5fb0-4890-920f-669cb0c83384,5e978c28-26e0-4dcf-aada-b2f51ab0dbd6,20328,New Joseph,PR
ddb0cb74-ce06-4c88-89e8-b84d858e5f97,232d5e70-579a-4b5e-a8e5-123020b17f9f,82357,East Michealview,AZ
1f68e9e8-a648-4927-901a-b3b5428ae09a,345f3c02-799b-4389-acef-5d9d8e3dc020,48427,East Katherinebury,GA
fe336eb0-7e4b-46e7-b602-bae38282e0a7,72bec318-b7fc-4844-ad5e-ef7ec1d62294,92397,Lake Kristinaport,GA
85f48d70-3999-4dcd-ab73-cb90fb49de0d,2fb24d88-4fa3-409f-8fc0-97d658aca735,91070,Port Amy,ME
163b8d0b-5219-4c14-9c12-d026f48c2f25,0ccdb4dd-93ae-40fe-8f62-95a3454e4a52,57400,Robbinsville,NJ
c742c654-7549-4b97-bc6d-10ea561b9e1b,d2bf72fc-a324-4fe8-a6bb-2daed8af3419,85674,Christopherport,NY
af5ba026-a78b-4259-bb1e-ea78345aef0e,2db85714-5564-46e3-89f2-bc00442ae7d7,35203,Lake Jeanne,HI
b3e4e1cd-6e10-4ca6-9057-89f8261b651c,8629714e-53a1-4ff2-9d5a-ad380219433e,19116,Johnstonborough,CA
2e10b730-a803-4759-9f36-3994ca21b837,cbf41e4d-f468-4dc6-998b-08b1d065bc37,16006,West Annemouth,MS
0cf30147-46c6-4be8-abec-08c69c2d8c93,92257a45-87b6-44fe-a76b-64c2316cb9ba,96673,New Michaelbury,MA
2cab3ed8-f1c7-4034-9823-a76eb9d246bb,fc7fea67-33e6-4cff-9b4f-7ddae6ab54ab,39871,Port Molly,NC
41f73205-c77d-4d5f-b761-66266816e6c5,e61c7db6-4998-4478-a497-33f5c8b97005,47930,Grimesmouth,AK
1d9e8252-bfec-4df3-a708-1cd655ce4dab,8c6e5fdc-6c76-4985-9c1e-8532337e59c5,20458,Edwardsland,IL
73f247cc-9283-43fd-8677-9bdf511bb781,14f721b2-3f86-4204-9992-6bf16fcd07a2,40512,West Teresa,PR
cfe65da0-6577-4eff-9e1d-83b8b6fe888e,095adc7b-9807-438a-b6df-7b1f73c0cdc4,23238,Chrischester,DC
8824e479-ff1b-475a-a091-a27527189850,058aa1e8-4988-4ae7-98f0-b742e458b3eb,59823,Lake Larry,SD
dfdc2850-482e-4af5-ba09-97bca755e748,ab650fe6-7021-4e1f-88c8-036ed304f3c5,46434,Port Faithmouth,PR
